"FILENAME"	"GIVENNAME"	"EXPERIMENT"	"MONTH"	"CELLTYPE"	"LOCATION"	"MISC"
"1"	"zj31_12m_B_CD_103_R4_TGACCA_L004_R1_001.fastq"	"12m B"	"20150903"	12	""	""	""
"2"	NA	NA	NA	NA	NA	NA	NA
"3"	NA	NA	NA	NA	NA	NA	NA
"4"	NA	NA	NA	NA	NA	NA	NA
"5"	NA	NA	NA	NA	NA	NA	NA
"6"	NA	NA	NA	NA	NA	NA	NA
"7"	"zj31_12m_Gr_CD33p_CD_103_R2_CGATGT_L004_R1_001.fastq"	"12m Gr CD33p"	"20150903"	12	""	""	""
"8"	NA	NA	NA	NA	NA	NA	NA
"9"	"zj31_12m_Mono_CD_103_R5_ACAGTG_L004_R1_001.fastq"	"12m Mono"	"20150903"	12	""	""	""
"10"	NA	NA	NA	NA	NA	NA	NA
"11"	NA	NA	NA	NA	NA	NA	NA
"12"	NA	NA	NA	NA	NA	NA	NA
"13"	"zj31_12m_T_CD_103_R3_TTAGGC_L004_R1_001.fastq"	"12m T"	"20150903"	12	""	""	""
"14"	"zj31_17hm_Gr_Ficoll_20160108_pp_50trim_CD117_R8.fastq"	"17.5m Gr"	"CD117"	NA	""	""	""
"15"	NA	NA	NA	NA	NA	NA	NA
"16"	NA	NA	NA	NA	NA	NA	NA
"17"	NA	NA	NA	NA	NA	NA	NA
"18"	NA	NA	NA	NA	NA	NA	NA
"19"	NA	NA	NA	NA	NA	NA	NA
"20"	NA	NA	NA	NA	NA	NA	NA
"21"	NA	NA	NA	NA	NA	NA	NA
"22"	NA	NA	NA	NA	NA	NA	NA
"23"	NA	NA	NA	NA	NA	NA	NA
"24"	NA	NA	NA	NA	NA	NA	NA
"25"	NA	NA	NA	NA	NA	NA	NA
"26"	NA	NA	NA	NA	NA	NA	NA
"27"	NA	NA	NA	NA	NA	NA	NA
"28"	"zj311mB.fastq"	"1m B"	"TIMEPOINT"	1	"B"	"PB"	""
"29"	NA	NA	NA	NA	NA	NA	NA
"30"	"zj311mor2mGFPpCD33p.fastq"	"1m Gr"	"TIMEPOINT"	1	"Gr"	"PB"	""
"31"	NA	NA	NA	NA	NA	NA	NA
"32"	"zj311mT.fastq"	"1m T"	"TIMEPOINT"	1	"T"	"PB"	""
"33"	NA	NA	NA	NA	NA	NA	NA
"34"	"zj312mBredo.fastq"	"2m B redo"	"TIMEPOINT"	2	"B"	"PB"	"redo"
"35"	NA	NA	NA	NA	NA	NA	NA
"36"	NA	NA	NA	NA	NA	NA	NA
"37"	NA	NA	NA	NA	NA	NA	NA
"38"	NA	NA	NA	NA	NA	NA	NA
"39"	"zj312mGFPpCD33p.fastq"	"2m Gr"	"OLD_TP"	2	"Gr"	"PB"	""
"40"	"zj312mCD16spNK.fastq"	"2m Mono"	"OLD_TP"	2	"Mono"	"PB"	""
"41"	NA	NA	NA	NA	NA	NA	NA
"42"	NA	NA	NA	NA	NA	NA	NA
"43"	NA	NA	NA	NA	NA	NA	NA
"44"	NA	NA	NA	NA	NA	NA	NA
"45"	NA	NA	NA	NA	NA	NA	NA
"46"	NA	NA	NA	NA	NA	NA	NA
"47"	NA	NA	NA	NA	NA	NA	NA
"48"	NA	NA	NA	NA	NA	NA	NA
"49"	"zj312mT.fastq"	"2m T"	"OLD_TP"	2	"T"	"PB"	""
"50"	NA	NA	NA	NA	NA	NA	NA
"51"	NA	NA	NA	NA	NA	NA	NA
"52"	NA	NA	NA	NA	NA	NA	NA
"53"	NA	NA	NA	NA	NA	NA	NA
"54"	NA	NA	NA	NA	NA	NA	NA
"55"	NA	NA	NA	NA	NA	NA	NA
"56"	NA	NA	NA	NA	NA	NA	NA
"57"	NA	NA	NA	NA	NA	NA	NA
"58"	NA	NA	NA	NA	NA	NA	NA
"59"	NA	NA	NA	NA	NA	NA	NA
"60"	NA	NA	NA	NA	NA	NA	NA
"61"	NA	NA	NA	NA	NA	NA	NA
"62"	NA	NA	NA	NA	NA	NA	NA
"63"	NA	NA	NA	NA	NA	NA	NA
"64"	NA	NA	NA	NA	NA	NA	NA
"65"	NA	NA	NA	NA	NA	NA	NA
"66"	NA	NA	NA	NA	NA	NA	NA
"67"	NA	NA	NA	NA	NA	NA	NA
"68"	NA	NA	NA	NA	NA	NA	NA
"69"	NA	NA	NA	NA	NA	NA	NA
"70"	NA	NA	NA	NA	NA	NA	NA
"71"	NA	NA	NA	NA	NA	NA	NA
"72"	NA	NA	NA	NA	NA	NA	NA
"73"	NA	NA	NA	NA	NA	NA	NA
"74"	NA	NA	NA	NA	NA	NA	NA
"75"	NA	NA	NA	NA	NA	NA	NA
"76"	NA	NA	NA	NA	NA	NA	NA
"77"	NA	NA	NA	NA	NA	NA	NA
"78"	NA	NA	NA	NA	NA	NA	NA
"79"	NA	NA	NA	NA	NA	NA	NA
"80"	NA	NA	NA	NA	NA	NA	NA
"81"	NA	NA	NA	NA	NA	NA	NA
"82"	NA	NA	NA	NA	NA	NA	NA
"83"	NA	NA	NA	NA	NA	NA	NA
"84"	"zj313hmPBB28cyclesCD75R.fastq"	"3.5m PB B 28 CD75R"	"3hmBM_II"	3.5	"B"	"PB"	"28c"
"85"	NA	NA	NA	NA	NA	NA	NA
"86"	NA	NA	NA	NA	NA	NA	NA
"87"	NA	NA	NA	NA	NA	NA	NA
"88"	NA	NA	NA	NA	NA	NA	NA
"89"	NA	NA	NA	NA	NA	NA	NA
"90"	NA	NA	NA	NA	NA	NA	NA
"91"	NA	NA	NA	NA	NA	NA	NA
"92"	NA	NA	NA	NA	NA	NA	NA
"93"	"zj313hmPBjan21T28cycles.fastq"	"3.5m PB Jan21 T 28"	"3hmBM"	3.5	"T"	"PB"	"28c"
"94"	NA	NA	NA	NA	NA	NA	NA
"95"	"zj313hmPBMono28cyclesCD75R.fastq"	"3.5m PB Mono 28 CD75R"	"3hmBM_II"	3.5	"Mono"	"PB"	"28c"
"96"	NA	NA	NA	NA	NA	NA	NA
